case_id,case_kind,patch_task_id,metadata_task_id,gt_category,expected_admissible,objective_reason,provenance_consistent,metadata_oracle_validated,objective_positive_after_provenance,deepseek_ok,deepseek_attempt,deepseek_wall_seconds,deepseek_error,deepseek_prompt_tokens,deepseek_completion_tokens,deepseek_total_tokens,deepseek_cost_usd,parsed_ok,non_vacuous,uses_patch_specific_evidence,target_overlap,protection_overlap,candidate_gate,security_predicate,oracle_kind,vacuity_risk,deepseek_only_false_candidate,qgdca_qualified,qgdca_false_admission,qgdca_true_admission
adversarial::CVE-2024-22399-1::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2024-22399-1,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.93,,609,156,765,5.9e-05,True,True,True,iterable;load;snakeyaml;stream;yaml,deserialization;deserialize;pickle;serialization;untrusted;yaml,True,"The deserialization of untrusted YAML input must be restricted to a safe set of classes, preventing arbitrary code execution via deserialization gadgets.",security_rule,low,True,False,False,False
adversarial::CVE-2021-43859::meta::CVE-2021-29506,adversarial_mismatched_positive_metadata,CVE-2021-43859,CVE-2021-29506,Resource Exhaustion (Denial of Service),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.8,,561,145,706,4.9e-05,True,False,False,getpointsfromrequest;graphhopper;http;javax;list;navigate;navigation;points,exhaustion;http;navigate;reject;request;resource;startswith,False,The function getPointsFromRequest must reject requests where the path does not start with a valid prefix to prevent resource exhaustion.,security_rule,high,False,False,False,False
base::CVE-2020-13921,base,CVE-2020-13921,CVE-2020-13921,SQL Injection,False,base_failed_patch_diff,True,False,False,True,1,1.87,,621,133,754,5.4e-05,True,False,False,connection;executequery;jdbchikaricpclient;query;sql;string,allowlist;connection;injection;query;sql,False,"The executeQuery method must validate that the SQL query string is constructed using only allowed identifiers and parameters, preventing injection of arbitrary SQL fragments.",static_predicate,high,False,False,False,False
base::CVE-2018-18240,base,CVE-2018-18240,CVE-2018-18240,Deserialization of Untrusted Data,True,base_true_patch_diff,True,True,True,True,1,2.16,,550,149,699,4.8e-05,True,True,True,objectinputstream;read;readobject;stream,deserialization;deserialize;read;serialization;stream,True,WhitelistObjectInputStream checks class name against a whitelist before deserialization and throws InvalidClassException if not whitelisted.,static_predicate,low,False,True,False,True
base::CVE-2021-4178,base,CVE-2021-4178,CVE-2021-4178,Deserialization of Untrusted Data,True,base_true_patch_diff,True,True,True,True,1,2.09,,447,144,591,0.000103,True,True,True,inputstream;load;yaml,deserialization;untrusted;yaml,True,The patch replaces the default Yaml constructor with SafeConstructor to prevent arbitrary object deserialization.,static_predicate,low,False,True,False,True
adversarial::CVE-2022-25845::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2022-25845,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.34,,559,154,713,0.000121,True,True,False,iterable;load;loadall;snakeyaml;stream;yaml,deserialization;deserialize;pickle;serialization;untrusted;yaml,False,The Yaml.loadAll method must not be called with untrusted input without using a safe constructor that restricts deserialization to safe types.,static_predicate,low,False,False,False,False
base::CVE-2021-32769,base,CVE-2021-32769,CVE-2021-32769,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,3.12,,562,164,726,0.000125,True,True,True,classloader;getresourceasstream;inputstream;resource;string,base;canonical;directory;normalize;path;reject;resource;startswith,True,"The base directory path must be normalized and resolved to its real path before being used to validate resource paths, and any path traversal attempt must be rejected.",static_predicate,low,False,True,False,True
adversarial::CVE-2024-28213::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2024-28213,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.71,,598,145,743,8.9e-05,True,True,True,iterable;load;snakeyaml;stream;yaml,deserialization;deserialize;pickle;serialization;yaml,True,The Connector.read method must validate that the serialized class is allowed before deserialization.,static_predicate,low,True,False,False,False
base::CVE-2018-1002201,base,CVE-2018-1002201,CVE-2018-1002201,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,2.71,,580,201,781,0.000137,True,True,True,file;init;java;java.io.file.<init>;lang;string,canonical;directory;file;path;startswith;traversal,True,"Before writing a zip entry, the code must check that the entry name contains "".."" and that the canonical path of the destination file does not start with the canonical path of the output directory, to prevent path traversal.",static_predicate,low,False,True,False,True
base::CVE-2021-21692,base,CVE-2021-21692,CVE-2021-21692,Path Travelsal,False,base_failed_patch_diff,True,False,False,True,1,2.0,,527,168,695,0.000121,True,True,False,<init>;file;init;java,base;canonical;directory;escape;file;normalize;path;realpath,False,FilePath constructor must canonicalize the path and verify that the resulting path starts with the expected base directory to prevent path traversal.,static_predicate,low,False,False,False,False
adversarial::CVE-2021-32769::meta::CVE-2018-1002201,adversarial_mismatched_positive_metadata,CVE-2021-32769,CVE-2018-1002201,Path Travelsal,False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.25,,550,194,744,0.000131,True,True,True,<init>;file;init;java;java.io.file,base;canonical;directory;file;normalize;path;realpath;startswith,True,"The base directory path must be normalized and resolved to its real path before being used to construct child paths, and any constructed child path must be validated to start with the base directory path to prevent path traversal.",static_predicate,low,True,False,False,False
adversarial::CVE-2023-49299::meta::CVE-2022-47894,adversarial_mismatched_positive_metadata,CVE-2023-49299,CVE-2022-47894,Improper Input Validation (Expression Injection),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.47,,550,117,667,0.00011,True,True,True,evaluate;expression;javax;namespace;qname;xpath,expression;external;injection;xpath,True,XPath expression input must be validated against external injection before evaluation.,static_predicate,low,True,False,False,False
adversarial::CVE-2020-13940::meta::CVE-2018-1309,adversarial_mismatched_positive_metadata,CVE-2020-13940,CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.13,,578,184,762,0.000132,True,True,True,apache;content;handler;nifi;org;parse;parser;sax,doctype;entity;external;parse;parser;xml;xxe,True,The SAX parser must have the feature http://apache.org/xml/features/disallow-doctype-decl set to true before parsing any XML input.,static_predicate,low,True,False,False,False
base::CVE-2022-1274,base,CVE-2022-1274,CVE-2022-1274,XSS (Cross-Site Scripting),True,base_true_patch_diff,True,True,True,True,1,2.1,,543,161,704,0.000121,True,True,False,attribute;forms;keycloak;login;loginformsprovider;provider;setattribute,attribute;encode;escape;html;script;xss,False,LoginFormsProvider.setAttribute must HTML-encode or sanitize any user-controlled attribute value before rendering to prevent XSS.,security_rule,medium,False,False,False,False
base::CVE-2022-37423,base,CVE-2022-37423,CVE-2022-37423,Path Travelsal,False,base_failed_patch_diff,True,False,False,True,1,2.03,,436,176,612,0.00011,True,True,True,<init>;file;init;java;java.io.file,file;path;startswith;traversal,True,The path traversal check must use getCanonicalFile().toPath().startsWith() instead of getCanonicalPath().startsWith() to prevent bypass via symbolic links or path normalization differences.,static_predicate,low,True,False,False,False
base::CVE-2023-46604,base,CVE-2023-46604,CVE-2023-46604,Deserialization of Untrusted Data,False,base_failed_patch_diff,True,False,False,True,1,1.76,,591,130,721,0.000119,True,True,True,objectinput;readobject,allowlist;deserialize;reject;serialization,True,"Before deserializing an object, the class must be validated against an allowlist or rejected if not a Throwable.",security_rule,low,True,False,False,False
base::CVE-2023-34602,base,CVE-2023-34602,CVE-2023-34602,SQL Injection,False,base_failed_patch_diff,True,False,False,True,1,1.98,,496,133,629,0.000107,True,True,True,getquerytableinfo;query;table,allowlist;sql;table,True,The method checkTableAndFieldsName validates table and field names against an allowlist before SQL execution.,static_predicate,low,True,False,False,False
adversarial::CVE-2022-45208::meta::CVE-2018-1002201,adversarial_mismatched_positive_metadata,CVE-2022-45208,CVE-2018-1002201,Path Travelsal,False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.02,,636,186,822,0.000106,True,True,False,file;init;java;java.io.file.<init>,base;canonical;directory;file;normalize;path;realpath;startswith,False,The File constructor must validate that the constructed path is within the intended base directory by canonicalizing both the base and the constructed path and checking that the constructed path starts with the base directory.,static_predicate,low,False,False,False,False
base::CVE-2023-39410,base,CVE-2023-39410,CVE-2023-39410,Deserialization of Untrusted Data,False,base_failed_patch_diff,True,False,False,True,1,2.01,,591,173,764,0.000131,True,True,True,apache;avro;binary;buffer;byte;decoder;direct;long,avro;buffer;deserialize;pickle;read;serialization;untrusted,True,"When reading a fixed-size schema, the size must be validated against the configured maximum byte length limit to prevent resource exhaustion from untrusted input.",static_predicate,low,True,False,False,False
base::CVE-2021-33036,base,CVE-2021-33036,CVE-2021-33036,Path Travelsal,False,base_failed_patch_diff,True,False,False,True,1,2.26,,534,183,717,0.000126,True,True,True,apache;boolean;create;curator;hadoop;manager;zkcurator;zkcuratormanager,base;canonical;create;directory;normalize;path;realpath;startswith,True,ZKCuratorManager.create must accept an ACL parameter to prevent unauthorized path creation that could enable path traversal attacks.,security_rule,low,True,False,False,False
adversarial::CVE-2024-23642::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2024-23642,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.09,,639,138,777,0.000128,True,True,True,writer,html;writer,True,All user-controlled data written to SVG output via writer.write must be HTML/XML-escaped using escapeXml10.,static_predicate,low,True,False,False,False
base::CVE-2023-34040,base,CVE-2023-34040,CVE-2023-34040,Deserialization of Untrusted Data,False,base_failed_patch_diff,True,False,False,True,1,1.8,,582,131,713,0.000118,True,True,False,read;readobject,deserialization;deserialize;read;reject;serialization;untrusted,False,Deserialization of untrusted data via readObject must be preceded by validation or rejection of untrusted input.,security_rule,medium,False,False,False,False
base::CVE-2025-25193,base,CVE-2025-25193,CVE-2025-25193,Resource Exhaustion (Denial of Service),False,base_failed_patch_diff,True,False,False,True,1,1.59,,551,138,689,0.000116,True,True,True,allocator;buffer;byte;chunk;chunked;handler;netty;read,buffer;resource;stream,True,"BoundedInputStream.read() and read(byte[],int,int) must enforce a maximum number of bytes read to prevent unbounded resource consumption.",static_predicate,low,True,False,False,False
