sample_index,task_id,sample_role,gt_category,gt_rule_id,gt_function,objective_score,parent_exposure_signal,upstream_protection_signal,directional_gain,patch_sha256,glm_ok,glm_attempt,glm_wall_seconds,glm_error,prompt_tokens,completion_tokens,total_tokens,parsable_json,non_vacuous,target_aligned,condition_aligned,protection_aligned,uses_patch_specific_evidence,api_overlap,vuln_overlap,fixed_overlap,glm_candidate_gate,objective_signals,qgdca_qualified,oracle_validated,glm_only_false_candidate,qgdca_false_admission,parsed_oracle_kind,parsed_vacuity_risk,parsed_predicate,parsed_target_terms,parsed_vulnerable_terms,parsed_fixed_terms
0,CVE-2018-1000407,objective_negative,XSS (Cross-Site Scripting),java.io.OutputStream.write:void(byte[]),write,13.25,False,True,True,5bbe4d17aa81f42ba1f6de761800211d917edde90a13f066dcfe1d5b3a559d40,True,1,59.52,,830,2205,3035,True,True,True,True,False,True,3,1,0,False,False,False,False,False,False,static_predicate,low,The 'wrapper' parameter must be validated to match the regular expression '^[a-zA-Z_][\w-\.]*$' before being written to the output stream.,output;stream;wrapper;write,injection;unvalidated;wrapper;xss,a-za-z_;matches;regex;validation;whitelist
1,CVE-2019-17091,objective_negative,XSS (Cross-Site Scripting),javax.faces.context.PartialResponseWriter.write:void(java.lang.String),write,12.25,True,False,False,ca0e78ff6e991351f6d03f8e65728b1551c4d507a2d0ad9eadd63202626861c6,True,1,36.1,,381,1369,1750,True,True,True,True,True,True,4,3,2,True,False,False,False,True,False,security_rule,low,Ensure that `javax.faces.context.PartialResponseWriter.write` is not used for outputting dynamic content; `writeText` must be used instead to prevent XSS via HTML escaping.,context;faces;javax;javax.faces.context.partialresponsewriter;partialresponsewriter;write;writetext,output;partialresponsewriter;partialresponsewriter.write;raw;unescaped;write,escaped;output;partialresponsewriter;partialresponsewriter.writetext;writetext
2,CVE-2020-1937,objective_negative,SQL Injection,org.apache.kylin.rest.service.QueryService.querySystemCube:org.apache.kylin.rest.response.SQLResponse(java.lang.String),querySystemCube,11.25,True,False,False,3e8d88832cdaacb29e11705d6ecce2ab75c256a327e79e7cb1f0e172a7cbfe96,True,1,100.66,,800,3808,4608,True,True,True,True,True,True,4,3,2,True,False,False,False,True,False,security_rule,low,The querySystemCube method must validate the cubeName parameter against an allowlist of authorized system cubes before executing the SQL query.,cubename;queryservice;querysystemcube;sqlresponse,cubename;injection;query;sql;system;unvalidated,allowlist;authorized;check;safe;validation
3,CVE-2020-2222,objective_negative,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,13.25,False,True,True,dbcac4d8ea8d1d2b909f3d5cfab986756bf06a40bf92214f7e8179f282d39423,True,1,60.67,,749,1998,2747,True,True,True,True,True,True,5,3,2,True,False,False,False,True,False,differential_test,low,The result of executing JavaScript on the page must not contain unescaped HTML tags or script payloads from the build log description.,build;build.whykeeplog;executejavascript;h.xmlescape;tooltip;whykeeplog;xmlescape,interpolation;raw;unescaped;xss,encoding;entity;html;sanitized;xmlescape
4,CVE-2020-2229,objective_negative,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,12.25,False,True,True,cf2e6a366a222a5f245282c808893824a4b0f10a3212cf7adeeeb2ff9688aaf6,True,1,65.81,,818,2294,3112,True,True,True,True,True,True,4,1,1,True,False,False,False,True,False,differential_test,low,The result of executing JavaScript on the page must not contain the dangerous payload substring and the alert trigger flag must be false when the svgIcon tooltip contains malicious script content.,executejavascript;scriptresult;tooltip;xmlescape,attrs;attrs.tooltip;tooltip;unescaped,escaped;xmlescape
5,CVE-2021-21692,objective_negative,Path Travelsal,java.io.File.<init>:void(java.lang.String),<init>,12.25,True,True,False,155243ca71ab6ce2e1eb0344f6e0fd02c2d854b1b762d02d4b221d40617c9f26,True,1,55.98,,729,2414,3143,True,True,True,True,True,True,2,6,7,True,False,False,False,True,False,security_rule,medium,"When unzipping files, the canonical path of the target file must be validated to ensure it starts with the canonical path of the destination directory to prevent path traversal.",file;init;path;unzip,escape;file;init;path;traversal;unzip,base;canonical;normalize;startswith;validation
6,CVE-2021-43859,objective_negative,Resource Exhaustion (Denial of Service),"com.thoughtworks.xstream.XStream.unmarshal:java.lang.Object(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder)",unmarshal,12.25,True,False,False,fd8015954ae2eb5a4ac4d35c93b433c8a9d93eafb8ea06633c6607d4f4eda5d6,True,1,42.84,,863,1425,2288,True,True,True,False,False,True,2,0,0,False,False,False,False,False,False,security_rule,medium,The unmarshalling process must invoke SecurityUtils.checkForCollectionDoSAttack to prevent CPU exhaustion attacks.,checkforcollectiondosattack;securityutils;unmarshal;xstream,100;attacker;cpu;graph;object;references;remote;time,checkforcollectiondosattack;checks;denytypes;securityutils;securityutils.checkforcollectiondosattack;validity
7,CVE-2022-0265,objective_negative,XXE (Improper Restriction of XML External Entity Reference),javax.xml.parsers.DocumentBuilder.parse:org.w3c.dom.Document(java.io.InputStream),parse,13.25,True,True,False,9e10a29af66e97fe759ece8121e60face3156d2bb22dbde3ed0f54857a0a8d9c,True,1,39.15,,832,1449,2281,True,True,False,True,True,True,0,5,3,False,False,False,False,False,False,static_predicate,low,The DocumentBuilderFactory and SchemaFactory instances must have the feature 'http://apache.org/xml/features/disallow-doctype-decl' enabled to prevent XXE attacks.,documentbuilderfactory;schemafactory;setfeature;xmlutil,doctype;entity;external;xxe,decl;disallow;disallow-doctype-decl;doctype;features;features_disallow_doctype;setfeature
8,CVE-2022-25845,objective_negative,Deserialization of Untrusted Data,"com.alibaba.fastjson.util.TypeUtils.loadClass:java.lang.Class(java.lang.String,java.lang.ClassLoader,boolean)",loadClass,11.25,True,False,False,1f11a27be47f9905b40a78817b9d39086074bae7aafa57382d7870d2e225260e,True,1,44.62,,760,1435,2195,True,True,False,False,False,True,0,0,0,False,False,False,False,False,False,static_predicate,low,The checkAutoType method must reject classes assignable from java.lang.Throwable when autoTypeSupport is disabled and expectClass is null.,autotypesupport;checkautotype;parserconfig;throwable,autotypesupport;expectclass;false;null;throwable,autotypesupport;false;null;reject;throwable
9,CVE-2022-31197,objective_negative,SQL Injection,java.sql.PreparedStatement.executeQuery:java.sql.ResultSet(),executeQuery,13.25,True,False,False,4d5fd818f72cd21225959c782b958e300e76b8026fb173a65bf850fd13ecd49d,True,1,34.55,,569,1305,1874,True,True,True,True,False,True,1,1,0,False,False,False,False,False,False,static_predicate,low,Database identifiers used in the construction of the `selectSQL` string within the `refreshRow` method must be sanitized using `Utils.escapeIdentifier` prior to concatenation.,escapeidentifier;executequery;refreshrow;selectsql,concatenation;construction;identifier;query;raw,escapeidentifier;quoting;sanitization
