task_id,gt_category,gt_rule_id,gt_function,objective_score,patch_commit,patch_available,patch_status,patch_url,patch_cache_path,patch_bytes,patch_sha256,patch_error,api_terms,protection_terms,vuln_terms,api_parent_hits,vuln_parent_hits,upstream_protection_hits,added_protection_hits,removed_protection_hits,parent_exposure_signal,upstream_protection_signal,directional_gain,oracle_validated
APACHE-COMMONS-001,Path Travelsal,"java.nio.file.Files.newInputStream:java.io.InputStream(java.nio.file.Path,java.nio.file.OpenOption[])",newInputStream,10.75,https://github.com/apache/commons-compress/commit/a080293da69f3fe3d11d5214432e1469ee195870,True,downloaded,https://github.com/apache/commons-compress/commit/a080293da69f3fe3d11d5214432e1469ee195870.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/a080293da69f3fe3d11d5214432e1469ee195870.patch_57d7ac99289c5bc7.patch,3954,5700af117bdf334df82842119c32f2e2055a57acad9698e8ac0287affca02625,,file;files;input;open;option;path;stream,allowlist;base;canonical;containment;directory;normalize;path;realpath;reject;startswith;traversal;validate;verify,canonical;directory;file;files;normalize;open;path;realpath;startswith;traversal,3,5,4,4,3,True,True,True,True
CVE-2018-1000407,XSS (Cross-Site Scripting),java.io.OutputStream.write:void(byte[]),write,13.25,https://github.com/jenkinsci/jenkins/commit/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6,True,downloaded,https://github.com/jenkinsci/jenkins/commit/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/df87e12ddcfeafdba6e0de0e07b3e21f8473ece6.patch_33d98b93d20281a9.patch,8642,5bbe4d17aa81f42ba1f6de761800211d917edde90a13f066dcfe1d5b3a559d40,,byte;output;stream;write,block;encode;escape;html;sanitize;script;xss,encode;escape;html;sanitize;script;validation;xss,0,0,3,3,0,False,True,True,False
CVE-2018-1002201,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff,True,downloaded,https://github.com/zeroturnaround/zt-zip/commit/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/759b72f33bc8f4d69f84f09fcb7f010ad45d6fff.patch_37d61b5102424114.patch,7916,d3fff1ead126641ef117cd7bc1faa81c22e3ae77819e01886e821e8ebaf42c91,,file;init,base;canonical;directory;normalize;path;realpath;startswith;traversal;validation,base;canonical;directory;file;normalize;path;realpath;safe;startswith;traversal,1,3,5,5,0,True,True,True,True
CVE-2018-11788,XXE (Improper Restriction of XML External Entity Reference),javax.xml.parsers.DocumentBuilder.parse:org.w3c.dom.Document(java.io.InputStream),parse,12.25,https://github.com/apache/karaf/commit/0c36c50bc158739c8fc8543122a6740c54adafca,True,downloaded,https://github.com/apache/karaf/commit/0c36c50bc158739c8fc8543122a6740c54adafca.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/0c36c50bc158739c8fc8543122a6740c54adafca.patch_e4610035e8c8fe3a.patch,5816,105348cae547a914e9bd47c69426479eeea7d51474d99e096ca8e8bc6eefe1f4,,builder;document;input;javax;parse;parsers;stream,doctype;entity;external;xml;xxe,doctype;entity;external;input;stream;xml;xxe,7,3,4,4,1,True,True,True,True
CVE-2018-1190,XSS (Cross-Site Scripting),"org.springframework.ui.Model.addAttribute:org.springframework.ui.Model(java.lang.String,java.lang.Object)",addAttribute,12.25,https://github.com/cloudfoundry/uaa/commit/96fe26711f8f8855d2994a531447f730afd61844,True,downloaded,https://github.com/cloudfoundry/uaa/commit/96fe26711f8f8855d2994a531447f730afd61844.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/96fe26711f8f8855d2994a531447f730afd61844.patch_adfa53e3a34690c5.patch,4979,27dc652d7df0d1db403dd097b69c057b1936e9c1bc743e88d15bcdcddc179d82,,attribute;model;springframework,encode;escape;html;sanitize;script;whitelist;xss,attribute;encode;escape;html;model;sanitize;script;xss,3,3,2,1,0,True,True,True,True
CVE-2018-12432,XSS (Cross-Site Scripting),net.bull.javamelody.HtmlCoreReport.writeln:void(java.lang.String),writeln,12.75,https://github.com/javamelody/javamelody/commit/e0497c1980acebd257d3da78dfde29ae9bdffdf6,True,downloaded,https://github.com/javamelody/javamelody/commit/e0497c1980acebd257d3da78dfde29ae9bdffdf6.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e0497c1980acebd257d3da78dfde29ae9bdffdf6.patch_636d5a8412f83fa0.patch,1182,cd522d90745a8f9aed475d4ddbfb3c3c10250b2facdced05cc2b82fc2eb3973e,,bull;core;html;javamelody;report;writeln,encode;escape;html;sanitize;script;xss,encode;escape;html;report;sanitize;script;writeln;xss,6,5,3,3,2,True,True,True,True
CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),"org.apache.nifi.xml.processing.sax.StandardInputSourceParser.parse:void(org.xml.sax.InputSource,org.xml.sax.ContentHandler)",parse,13.25,https://github.com/apache/nifi/commit/28067a29fd13cdf8e21b440fc65c6dd67872522f,True,downloaded,https://github.com/apache/nifi/commit/28067a29fd13cdf8e21b440fc65c6dd67872522f.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/28067a29fd13cdf8e21b440fc65c6dd67872522f.patch_cdd157514459c9d2.patch,19425,67c9bb81e96ac4ea95a50f8e7875ed8737c501c9b76a08663661d05de0e1cf99,,apache;content;handler;input;nifi;parse;parser;processing;source;standard,doctype;entity;external;xml;xxe,doctype;entity;external;input;parse;parser;xml;xxe,9,5,5,5,1,True,True,True,True
CVE-2018-17193,XSS (Cross-Site Scripting),"javax.servlet.ServletRequest.setAttribute:void(java.lang.String,java.lang.Object)",setAttribute,12.25,https://github.com/apache/nifi/commit/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f,True,downloaded,https://github.com/apache/nifi/commit/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f.patch_57433589df20cf12.patch,22705,dd02060d8d873023a76302b3e9a992956f092d4a915630a57ea31b2ece4d9cc2,,attribute;javax;request;servlet,block;encode;escape;html;sanitize;script;validation;xss,attribute;encode;escape;html;request;sanitize;script;xss,4,6,5,3,1,True,True,True,True
CVE-2018-18240,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,10.25,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296,True,downloaded,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/c6b26551a82d2dd32097fcb17c13c3b830916296.patch_b6c6d97276a0e0f4.patch,6707,d1645c84d80e8842d6023f0353da27182ff440b2d8340ebd1eb6f4675eb9c188,,input;read;stream,allowlist;deserialize;pickle;reject;safe;serialization,deserialize;pickle;read;serialization;stream,3,4,2,1,0,True,True,True,True
CVE-2018-18628,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,11.25,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296,True,cached,https://github.com/pippo-java/pippo/commit/c6b26551a82d2dd32097fcb17c13c3b830916296.patch,/root/mddc/artifacts/patch_cache/lxxvii_asr_patch_differential/c6b26551a82d2dd32097fcb17c13c3b830916296.patch_b6c6d97276a0e0f4.patch,6707,d1645c84d80e8842d6023f0353da27182ff440b2d8340ebd1eb6f4675eb9c188,,input;read;stream,allowlist;deserialize;pickle;serialization,allowlist;deserialize;filter;input;pickle;serialization;stream,3,4,2,1,0,True,True,True,True
